Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: jeee16t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,,
Counties,57734,27203,23309,24629,42.7,4716,3022,3432,13.9,12114,10728,11222,45.6,10373,9559,9975,40.5,Counties
Municipalities,65170,27917,23185,25387,39,20894,16195,18325,72.2,3871,3841,3880,15.3,3152,3149,3182,12.5,Municipalities
,,,,,,,,,,,,,,,,,,
Rhode Island,48206,5934,5694,5776,12,3157,2997,3057,52.9,1324,1250,1271,22,1453,1447,1448,25.1,Rhode Island
State,18302,2989,2960,2974,16.2,350,350,350,11.8,1186,1163,1176,39.5,1453,1447,1448,48.7,State
"Local, total",29904,2945,2734,2802,9.4,2807,2647,2707,96.6,138,87,95,3.4,0,0,0,0,"Local, total"
Municipalities,15746,1806,1688,1729,11,1722,1620,1659,96,84,68,70,4,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
South Carolina,262417,30816,29157,29829,11.4,14672,13727,14104,47.3,5151,4588,4800,16.1,10993,10842,10925,36.6,South Carolina
State,79917,10614,10491,10563,13.2,2098,2059,2083,19.7,891,876,884,8.4,7625,7556,7596,71.9,State
"Local, total",182500,20202,18666,19266,10.6,12574,11668,12021,62.4,4260,3712,3916,20.3,3368,3286,3329,17.3,"Local, total"
Counties,33884,13981,12845,13310,39.3,6908,6302,6556,49.3,3753,3305,3474,26.1,3320,3238,3280,24.6,Counties
Municipalities,21895,6221,5821,5956,27.2,5666,5366,5465,91.8,507,407,442,7.4,48,48,49,0.8,Municipalities
,,,,,,,,,,,,,,,,,,
South Dakota,46338,4924,4363,4580,9.9,2272,2008,2100,45.9,1073,920,990,21.6,1579,1435,1490,32.5,South Dakota
State,14106,1850,1718,1787,12.7,356,343,350,19.6,695,607,656,36.7,799,768,781,43.7,State
"Local, total",32232,3074,2645,2793,8.7,1916,1665,1750,62.7,378,313,334,12,780,667,709,25.4,"Local, total"
Counties,3765,1693,1425,1528,40.6,605,505,545,35.7,337,282,303,19.8,751,638,680,44.5,Counties
Municipalities,7030,1381,1220,1265,18,1311,1160,1205,95.3,41,31,31,2.5,29,29,29,2.3,Municipalities
,,,,,,,,,,,,,,,,,,
Tennessee,329029,42721,39836,41051,12.5,21942,20261,21008,51.2,8020,7243,7519,18.3,12759,12332,12524,30.5,Tennessee
State,78599,11269,11212,11234,14.3,1783,1776,1780,15.8,2553,2518,2527,22.5,6933,6918,6927,61.7,State
"Local, total",250430,31452,28624,29817,11.9,20159,18485,19228,64.5,5467,4725,4992,16.7,5826,5414,5597,18.8,"Local, total"
Counties,157296,16378,14854,15407,9.8,7741,7113,7324,47.5,4308,3698,3916,25.4,4329,4043,4167,27,Counties
Municipalities,82761,15075,13770,14410,17.4,12418,11372,11904,82.6,1160,1027,1076,7.5,1497,1371,1430,9.9,Municipalities
,,,,,,,,,,,,,,,,,,
Texas,1486219,177323,169902,172966,11.6,78259,74860,76123,44,29378,26871,27931,16.1,69686,68171,68912,39.8,Texas
State,309862,53675,52788,53321,17.2,7094,7035,7065,13.2,5809,5569,5782,10.8,40772,40184,40474,75.9,State
"Local, total",1176357,123648,117114,119645,10.2,71165,67825,69058,57.7,23569,21302,22149,18.5,28914,27987,28438,23.8,"Local, total"
Counties,158746,69880,66443,67942,42.8,22478,21490,21901,32.2,18728,17188,17831,26.2,28674,27765,28210,41.5,Counties
Municipalities,191334,53768,50671,51703,27,48687,46335,47157,91.2,4841,4114,4318,8.4,240,222,228,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Utah,147135,16266,13628,14515,9.9,7628,5790,6337,43.7,3271,2796,2992,20.6,5367,5042,5186,35.7,Utah
State,57733,5974,5497,5713,9.9,980,865,899,15.7,1618,1485,1556,27.2,3376,3147,3258,57,State
"Local, total",89402,10292,8131,8802,9.8,6648,4925,5438,61.8,1653,1311,1436,16.3,1991,1895,1928,21.9,"Local, total"
Counties,14173,4974,4232,4466,31.5,1986,1499,1635,36.6,997,838,903,20.2,1991,1895,1928,43.2,Counties
Municipalities,16493,5291,3873,4307,26.1,4635,3400,3774,87.6,656,473,533,12.4,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Vermont,40130,3586,3187,3286,8.2,1732,1405,1493,45.4,763,697,705,21.5,1091,1085,1088,33.1,Vermont
State,14388,2432,2338,2356,16.4,650,585,598,25.4,699,674,678,28.8,1083,1079,1080,45.8,State
"Local, total",25742,1154,849,930,3.6,1082,820,895,96.2,64,23,27,2.9,8,6,8,0.9,"Local, total"
Counties,41,36,21,25,61,9,8,9,36,27,13,16,64,0,0,0,0,Counties
Municipalities,2221,506,400,429,19.3,491,387,414,96.5,11,10,11,2.6,4,3,4,0.9,Municipalities
,,,,,,,,,,,,,,,,,,
Virginia,447546,57679,54277,55909,12.5,22640,21204,21923,39.2,9620,8575,9008,16.1,25419,24498,24978,44.7,Virginia
State,126741,21173,20311,20695,16.3,3264,3126,3199,15.5,4095,3758,3845,18.6,13814,13427,13651,66,State
"Local, total",320805,36506,33966,35214,11,19376,18078,18724,53.2,5525,4817,5163,14.7,11605,11071,11327,32.2,"Local, total"
Counties,190113,17326,15920,16614,8.7,9816,9087,9450,56.9,3268,2843,3051,18.4,4242,3990,4113,24.8,Counties
Municipalities,116635,16304,15221,15742,13.5,9560,8991,9274,58.9,2257,1974,2112,13.4,4487,4256,4356,27.7,Municipalities
,,,,,,,,,,,,,,,,,,
Washington,352641,36963,35140,35990,10.2,14636,14240,14412,40,8856,8149,8421,23.4,13471,12751,13157,36.6,Washington
State,126970,12908,12307,12599,9.9,2172,2098,2112,16.8,2058,2019,2035,16.2,8678,8190,8452,67.1,State
"Local, total",225671,24055,22833,23391,10.4,12464,12142,12300,52.6,6798,6130,6386,27.3,4793,4561,4705,20.1,"Local, total"
Counties,40399,15209,14312,14699,36.4,5122,4957,5018,34.1,5659,5142,5333,36.3,4428,4213,4348,29.6,Counties
Municipalities,42436,8846,8521,8692,20.5,7342,7185,7282,83.8,1139,988,1053,12.1,365,348,357,4.1,Municipalities
,,,,,,,,,,,,,,,,,,
West Virginia,104609,11098,10381,10665,10.2,4361,3962,4116,38.6,2975,2697,2802,26.3,3762,3722,3747,35.1,West Virginia
State,41422,6309,6227,6275,15.1,1058,1033,1042,16.6,1698,1655,1683,26.8,3553,3539,3550,56.6,State
"Local, total",63187,4789,4154,4390,6.9,3303,2929,3074,70,1277,1042,1119,25.5,209,183,197,4.5,"Local, total"
Counties,7690,2702,2362,2499,32.5,1372,1218,1278,51.1,1121,961,1024,41,209,183,197,7.9,Counties
Municipalities,10141,2087,1792,1891,18.6,1931,1711,1796,95,156,81,95,5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Wisconsin,285316,38114,33074,34828,12.2,18085,15060,15953,45.8,6137,5062,5427,15.6,13892,12952,13448,38.6,Wisconsin
State,72676,12938,12012,12510,17.2,899,876,888,7.1,2264,2020,2146,17.2,9775,9116,9476,75.7,State
"Local, total",212640,25176,21062,22318,10.5,17186,14184,15065,67.5,3873,3042,3281,14.7,4117,3836,3972,17.8,"Local, total"
Counties,45177,13882,11875,12472,27.6,6501,5335,5623,45.1,3339,2738,2924,23.4,4042,3802,3925,31.5,Counties
Municipalities,35059,11093,9069,9708,27.7,10496,8733,9307,95.9,522,302,354,3.6,75,34,47,0.5,Municipalities
,,,,,,,,,,,,,,,,,,
Wyoming,50972,5147,4851,4968,9.7,2102,1996,2032,40.9,1073,929,988,19.9,1972,1926,1948,39.2,Wyoming
State,13502,2107,2055,2089,15.5,282,282,282,13.5,566,517,549,26.3,1259,1256,1258,60.2,State
"Local, total",37470,3040,2796,2879,7.7,1820,1714,1750,60.8,507,412,439,15.2,713,670,690,24,"Local, total"
Counties,7777,1694,1581,1627,20.9,642,604,618,38,346,314,327,20.1,706,663,682,41.9,Counties
Municipalities,4805,1346,1215,1252,26.1,1178,1110,1132,90.4,161,98,112,8.9,7,7,8,0.6,Municipalities
Note: Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,
"a/Total full-time equivalent employment includes employment of states and all types of local governments including independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,
b/Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,,
